year,month,detections,event_days,new_events,frp_sum,days,largest_event_detections
2023,11,115,73,71,161.9,30,5
2023,12,15,10,10,34.9,31,5
2024,1,66,31,30,319.3,31,10
2024,2,61,41,40,227.5,29,4
2024,3,226,120,116,1473.8,31,32
2024,4,152,68,64,1094.0,30,30
2024,5,206,135,132,1146.4,31,9
2024,6,185,106,101,484.5,30,16
2024,7,562,210,208,1857.1,31,42
2024,8,571,274,263,2605.8,31,20
2024,9,277,134,126,1176.3,30,28
2024,10,382,197,169,1729.3,31,15
2024,11,406,167,138,2495.0,30,25
2024,12,9,8,8,8.3,31,2
2025,1,53,32,29,218.8,31,5
2025,2,167,94,86,940.2,28,7
2025,3,2054,824,752,13475.4,31,55
2025,4,4994,902,750,34817.8,30,878
2025,5,1043,401,381,6614.5,31,172
2025,6,1493,160,151,13668.7,30,898
2025,7,1156,301,284,3262.8,31,65
2025,8,1952,354,324,15273.4,31,671
2025,9,284,165,154,966.7,30,18
2025,10,301,111,97,1664.4,31,22
2025,11,322,154,149,702.3,30,14
2025,12,36,25,23,118.5,31,5
2026,1,126,74,64,571.5,31,7
2026,2,47,32,32,185.7,28,7
2026,3,1064,469,412,6930.1,31,31
2026,4,2075,517,484,14861.1,30,565
2026,5,630,303,282,3918.2,31,67
2026,6,280,126,118,1659.9,30,93
2026,7,3457,622,551,26232.5,31,514
2026,8,3438,526,434,29876.3,26,1381
