lat,lon,n_cells,n,cal_months,year_months,years,night_share,static_type_share,radius_m,name
53.4833,-2.43562,1,25,10,14,5,0.0,0.0,1000,unnamed persistent heat source
51.35173,1.36881,1,25,3,17,12,0.0,0.0,1000,unnamed persistent heat source
53.42161,-2.3965,1,24,6,16,11,0.96,0.0,1000,unnamed persistent heat source
51.82572,-0.05387,1,22,8,12,3,1.0,0.0,1000,unnamed persistent heat source
52.4854,-1.78358,1,22,5,16,10,0.0,0.0,1000,unnamed persistent heat source
55.8044,-4.32511,1,20,5,15,10,0.0,0.0,1000,unnamed persistent heat source
51.91838,-2.36932,1,20,4,16,9,0.0,0.0,1000,unnamed persistent heat source
53.33424,-1.20364,1,18,8,11,3,1.0,0.0,1000,unnamed persistent heat source
51.63051,0.21409,1,16,8,11,6,0.12,0.0,1000,unnamed persistent heat source
51.66156,-0.35012,1,15,10,13,7,0.0,0.0,1000,unnamed persistent heat source
53.05918,-2.24462,1,14,8,11,5,0.43,0.0,1000,unnamed persistent heat source
51.26169,0.99724,1,14,9,10,5,0.86,0.0,1000,unnamed persistent heat source
51.52563,-0.52309,1,11,8,8,5,0.27,0.0,1000,unnamed persistent heat source
51.2333,1.20532,1,11,8,11,5,0.0,0.0,1000,unnamed persistent heat source
